order_id,customer_id,order_date,order_amount,order_status,product_category
O000001,C00001,2024-11-01,104.11,completed,Electronics
O000002,C00001,2024-10-13,116.71,completed,Electronics
O000003,C00001,2024-10-06,63.09,completed,Beauty
O000004,C00001,2024-08-02,133.21,completed,Electronics
O000005,C00001,2024-09-29,63.44,delivered,Electronics
O000006,C00001,2024-07-01,179.56,completed,Home
O000007,C00001,2024-05-30,108.17,completed,Books
O000008,C00001,2024-04-12,185.78,completed,Sports
O000009,C00001,2024-04-12,75.44,completed,Clothing
O000010,C00002,2024-11-17,90.26,completed,Electronics
O000011,C00002,2024-11-06,115.2,completed,Home
O000012,C00002,2024-09-06,167.4,completed,Home
O000013,C00002,2024-09-26,158.13,completed,Sports
O000014,C00002,2024-07-31,79.33,completed,Clothing
O000015,C00003,2024-11-30,109.35,delivered,Beauty
O000016,C00003,2024-11-29,116.03,completed,Books
O000017,C00003,2024-11-23,95.07,delivered,Books
O000018,C00003,2024-11-05,121.85,completed,Beauty
O000019,C00003,2024-10-11,93.72,returned,Books
O000020,C00003,2024-07-08,195.16,completed,Home
O000021,C00004,2024-10-30,126.45,completed,Electronics
O000022,C00004,2024-10-10,61.98,delivered,Clothing
O000023,C00004,2024-08-27,42.96,returned,Beauty
O000024,C00004,2024-07-28,63.06,completed,Books
O000025,C00004,2024-10-08,130.09,completed,Books
O000026,C00005,2024-12-02,25.14,completed,Books
O000027,C00005,2024-12-03,45.76,completed,Electronics
O000028,C00005,2024-10-06,59.54,completed,Sports
O000029,C00005,2024-10-02,36.72,returned,Beauty
O000030,C00005,2024-09-04,11.84,completed,Books
O000031,C00005,2024-10-12,15.47,completed,Books
O000032,C00005,2024-07-25,18.32,delivered,Electronics
O000033,C00005,2024-05-22,59.18,returned,Books
O000034,C00005,2024-06-23,58.34,completed,Beauty
O000035,C00005,2024-08-27,10.53,completed,Clothing
O000036,C00005,2024-05-06,47.34,delivered,Sports
O000037,C00005,2024-03-11,38.76,completed,Home
O000038,C00006,2024-11-07,43.98,returned,Sports
O000039,C00006,2024-11-12,27.25,completed,Beauty
O000040,C00006,2024-10-29,24.77,completed,Electronics
O000041,C00006,2024-10-14,27.42,completed,Beauty
O000042,C00006,2024-07-14,20.34,completed,Home
