session_id,customer_id,visit_date,page_views
S0000001,C00001,2023-01-18,18
S0000002,C00001,2024-06-17,20
S0000003,C00002,2022-11-08,14
S0000004,C00002,2022-12-21,5
S0000005,C00002,2023-10-27,11
S0000006,C00002,2023-11-14,15
S0000007,C00002,2023-09-16,4
S0000008,C00002,2023-06-19,12
S0000009,C00002,2022-03-31,17
S0000010,C00002,2022-03-20,14
S0000011,C00002,2024-02-26,1
S0000012,C00002,2023-04-21,14
S0000013,C00002,2023-04-23,9
S0000014,C00002,2022-01-28,19
S0000015,C00002,2022-06-30,13
S0000016,C00002,2022-06-10,14
S0000017,C00002,2023-03-23,4
S0000018,C00002,2023-05-18,7
S0000019,C00002,2023-05-24,13
S0000020,C00002,2023-02-16,10
S0000021,C00002,2023-10-24,6
S0000022,C00002,2024-12-29,1
S0000023,C00002,2023-07-05,8
S0000024,C00002,2023-01-22,6
S0000025,C00002,2024-03-02,9
S0000026,C00003,2023-07-01,12
S0000027,C00003,2024-11-11,4
S0000028,C00003,2024-04-09,10
S0000029,C00003,2023-07-14,14
S0000030,C00003,2022-07-16,11
S0000031,C00003,2022-11-20,17
S0000032,C00003,2024-04-19,18
S0000033,C00003,2022-08-21,11
S0000034,C00003,2022-08-12,12
S0000035,C00004,2024-08-13,10
S0000036,C00004,2022-02-07,16
S0000037,C00004,2023-06-01,19
S0000038,C00004,2022-07-15,15
S0000039,C00004,2022-03-01,14
S0000040,C00004,2022-02-03,18
S0000041,C00004,2022-07-23,5
S0000042,C00004,2023-12-06,15
S0000043,C00004,2022-05-08,13
S0000044,C00004,2022-03-04,5
S0000045,C00004,2024-12-23,6
S0000046,C00004,2022-10-30,9
S0000047,C00004,2024-06-15,3
S0000048,C00004,2023-10-02,16
S0000049,C00005,2024-04-19,16
S0000050,C00005,2023-12-17,20
S0000051,C00006,2023-11-06,2
S0000052,C00006,2022-02-07,1
S0000053,C00006,2023-01-09,4
S0000054,C00006,2024-07-12,20
S0000055,C00006,2024-07-01,14
S0000056,C00006,2023-09-14,15
S0000057,C00006,2022-01-15,10
S0000058,C00006,2024-04-18,1
S0000059,C00006,2022-06-18,13
S0000060,C00006,2023-11-30,13
S0000061,C00006,2022-05-23,5
S0000062,C00006,2023-09-28,14
S0000063,C00006,2024-04-23,5
S0000064,C00007,2024-04-24,19
S0000065,C00007,2023-12-12,3
S0000066,C00007,2022-10-16,12
S0000067,C00007,2022-05-17,14
S0000068,C00007,2022-10-05,17
S0000069,C00007,2022-03-02,6
S0000070,C00007,2024-02-22,4
S0000071,C00007,2023-07-17,6
S0000072,C00007,2022-11-08,17
S0000073,C00007,2023-08-22,16
S0000074,C00007,2023-08-11,13
S0000075,C00008,2024-09-23,17
S0000076,C00008,2023-12-06,4
S0000077,C00008,2023-03-08,14
S0000078,C00008,2024-12-16,3
S0000079,C00008,2023-07-16,18
S0000080,C00008,2022-02-14,9
S0000081,C00008,2023-06-30,13
S0000082,C00008,2023-04-21,11
S0000083,C00008,2022-03-21,2
S0000084,C00008,2022-10-02,15
S0000085,C00008,2022-10-08,20
S0000086,C00008,2022-07-11,15
S0000087,C00008,2022-07-28,9
S0000088,C00008,2022-09-12,4
S0000089,C00008,2022-10-02,4
S0000090,C00008,2023-01-05,20
S0000091,C00008,2022-03-25,12
S0000092,C00008,2024-12-05,17
S0000093,C00008,2024-10-27,10
S0000094,C00009,2023-02-06,13
S0000095,C00009,2022-12-11,13
S0000096,C00009,2023-03-07,3
S0000097,C00010,2023-03-30,10
S0000098,C00010,2023-06-07,14
S0000099,C00010,2022-02-26,15
S0000100,C00010,2024-11-14,3
S0000101,C00010,2024-11-12,6
S0000102,C00010,2023-11-23,5
S0000103,C00010,2022-08-11,19
S0000104,C00010,2023-04-29,18
S0000105,C00010,2023-12-03,6
S0000106,C00010,2022-10-02,6
S0000107,C00010,2023-03-23,4
S0000108,C00010,2022-05-15,10
S0000109,C00010,2023-01-15,8
S0000110,C00010,2022-06-12,3
S0000111,C00010,2024-01-13,10
S0000112,C00010,2024-09-16,19
S0000113,C00010,2024-07-14,1
S0000114,C00010,2023-06-12,20
S0000115,C00010,2024-12-28,17
S0000116,C00010,2023-04-12,3
S0000117,C00010,2022-12-23,1
S0000118,C00010,2024-02-15,2
S0000119,C00010,2023-10-06,8
S0000120,C00010,2023-12-02,10
S0000121,C00010,2023-05-16,6
S0000122,C00011,2023-07-22,12
S0000123,C00011,2022-06-06,5
S0000124,C00011,2023-03-05,18
S0000125,C00011,2024-07-27,17
S0000126,C00011,2024-11-11,9
S0000127,C00011,2023-02-18,3
S0000128,C00011,2022-01-07,15
S0000129,C00011,2023-08-23,19
S0000130,C00011,2022-06-14,9
S0000131,C00011,2024-12-16,15
S0000132,C00011,2024-04-29,9
S0000133,C00011,2023-01-01,15
S0000134,C00011,2023-03-21,1
S0000135,C00011,2022-01-13,19
S0000136,C00011,2022-12-08,2
S0000137,C00011,2022-07-27,18
S0000138,C00011,2024-09-22,2
S0000139,C00012,2024-05-06,20
S0000140,C00012,2023-02-08,5
S0000141,C00012,2022-10-30,9
S0000142,C00012,2022-04-25,3
S0000143,C00012,2022-08-24,13
S0000144,C00012,2022-12-20,17
S0000145,C00012,2022-02-11,3
S0000146,C00012,2024-04-30,18
S0000147,C00012,2022-03-12,15
S0000148,C00012,2023-05-11,6
S0000149,C00012,2024-11-28,4
S0000150,C00012,2024-08-07,12
S0000151,C00012,2022-03-07,15
S0000152,C00012,2024-10-02,5
S0000153,C00012,2022-06-01,17
S0000154,C00012,2022-02-07,14
S0000155,C00012,2024-05-08,12
S0000156,C00012,2022-04-25,11
S0000157,C00012,2024-05-21,12
S0000158,C00012,2024-01-29,8
S0000159,C00012,2023-07-27,1
S0000160,C00012,2022-04-13,5
S0000161,C00012,2024-06-10,16
S0000162,C00012,2022-06-19,14
S0000163,C00012,2022-05-21,15
S0000164,C00013,2024-07-25,15
S0000165,C00013,2023-10-13,8
S0000166,C00013,2023-11-09,9
S0000167,C00013,2023-03-07,3
S0000168,C00013,2024-05-26,4
S0000169,C00014,2024-04-13,19
S0000170,C00014,2024-11-25,4
S0000171,C00014,2023-07-26,6
S0000172,C00015,2022-08-25,17
S0000173,C00015,2024-01-28,19
S0000174,C00015,2023-01-05,19
S0000175,C00015,2023-05-10,2
S0000176,C00015,2022-02-21,10
S0000177,C00015,2023-07-17,20
S0000178,C00015,2022-10-24,6
S0000179,C00015,2023-06-30,14
S0000180,C00015,2024-08-16,13
S0000181,C00015,2022-07-28,14
S0000182,C00015,2024-04-21,4
S0000183,C00015,2022-08-27,18
S0000184,C00015,2024-02-02,15
S0000185,C00015,2022-03-16,2
S0000186,C00015,2022-07-11,1
S0000187,C00015,2022-11-18,2
S0000188,C00015,2024-08-31,8
S0000189,C00015,2024-06-26,18
S0000190,C00015,2024-06-13,13
S0000191,C00015,2023-10-21,12
S0000192,C00015,2024-08-27,4
S0000193,C00016,2023-11-20,11
S0000194,C00016,2024-09-15,6
S0000195,C00016,2022-03-29,7
S0000196,C00016,2023-06-28,3
S0000197,C00016,2023-04-16,18
S0000198,C00016,2024-05-06,11
S0000199,C00016,2022-05-28,15
S0000200,C00016,2024-02-27,16
S0000201,C00016,2023-04-17,16
S0000202,C00016,2022-11-01,16
S0000203,C00016,2022-12-15,12
S0000204,C00016,2022-02-28,13
S0000205,C00016,2023-01-27,12
S0000206,C00016,2023-03-25,4
S0000207,C00016,2022-11-17,4
S0000208,C00016,2024-01-07,3
S0000209,C00016,2022-04-06,1
S0000210,C00016,2022-08-10,6
S0000211,C00016,2024-12-15,6
S0000212,C00016,2023-07-14,17
S0000213,C00017,2022-07-12,7
S0000214,C00017,2022-06-20,4
S0000215,C00017,2022-01-01,7
S0000216,C00017,2023-10-31,17
S0000217,C00017,2022-02-23,15
S0000218,C00017,2024-08-10,3
S0000219,C00017,2022-04-27,19
S0000220,C00017,2022-07-08,6
S0000221,C00017,2022-04-29,9
S0000222,C00017,2023-12-01,19
S0000223,C00017,2023-04-16,17
S0000224,C00017,2024-09-01,20
S0000225,C00017,2024-01-08,20
S0000226,C00017,2024-02-11,8
S0000227,C00018,2023-09-12,11
S0000228,C00018,2023-05-27,11
S0000229,C00018,2023-07-19,13
S0000230,C00018,2022-08-21,20
S0000231,C00018,2024-05-04,13
S0000232,C00018,2022-12-21,7
S0000233,C00018,2022-04-07,1
S0000234,C00018,2023-01-26,15
S0000235,C00018,2023-04-23,13
S0000236,C00018,2023-02-07,15
S0000237,C00018,2023-12-06,16
S0000238,C00018,2022-03-15,17
S0000239,C00018,2022-05-23,11
S0000240,C00018,2022-05-11,18
S0000241,C00018,2022-01-26,15
S0000242,C00018,2024-10-10,18
S0000243,C00018,2023-04-09,7
S0000244,C00019,2024-05-24,17
S0000245,C00019,2023-01-15,14
S0000246,C00019,2022-05-11,10
S0000247,C00019,2023-09-13,13
S0000248,C00019,2023-06-26,12
S0000249,C00019,2024-01-17,15
S0000250,C00019,2023-12-19,8
S0000251,C00019,2022-05-17,2
S0000252,C00019,2022-03-31,5
S0000253,C00019,2024-04-20,14
S0000254,C00019,2024-06-27,10
S0000255,C00019,2023-01-10,16
S0000256,C00019,2023-10-16,15
S0000257,C00019,2022-05-26,9
S0000258,C00019,2024-12-07,20
S0000259,C00019,2022-05-09,6
S0000260,C00019,2024-02-03,12
S0000261,C00019,2022-09-27,20
S0000262,C00019,2022-07-20,13
S0000263,C00019,2023-12-08,7
S0000264,C00019,2024-10-11,19
S0000265,C00019,2023-05-28,9
S0000266,C00019,2024-07-13,9
S0000267,C00019,2022-01-20,3
S0000268,C00019,2023-11-15,18
S0000269,C00020,2024-04-25,14
S0000270,C00020,2024-12-13,10
S0000271,C00020,2022-12-18,15
S0000272,C00020,2022-11-24,12
S0000273,C00020,2023-06-09,11
S0000274,C00020,2022-12-13,17
S0000275,C00020,2023-01-23,5
S0000276,C00020,2023-07-16,1
S0000277,C00020,2022-10-11,7
S0000278,C00020,2022-03-08,17
S0000279,C00020,2022-05-30,5
S0000280,C00020,2022-11-28,19
S0000281,C00020,2023-08-01,7
S0000282,C00020,2024-06-20,4
S0000283,C00020,2023-10-03,2
S0000284,C00020,2022-08-08,2
S0000285,C00020,2022-11-01,8
S0000286,C00020,2023-09-04,4
S0000287,C00020,2023-09-25,5
S0000288,C00020,2022-04-25,2
S0000289,C00020,2023-09-12,2
S0000290,C00021,2024-06-23,16
S0000291,C00021,2023-06-17,20
S0000292,C00021,2022-07-19,19
S0000293,C00021,2022-12-25,17
S0000294,C00022,2022-10-15,10
S0000295,C00022,2024-01-28,4
S0000296,C00022,2022-08-18,1
S0000297,C00022,2024-05-23,15
S0000298,C00022,2022-03-05,6
S0000299,C00022,2023-08-30,20
S0000300,C00022,2022-05-11,3
S0000301,C00023,2024-04-28,19
S0000302,C00023,2023-04-03,10
S0000303,C00023,2024-07-25,18
S0000304,C00023,2024-07-16,15
S0000305,C00023,2024-04-28,5
S0000306,C00023,2024-08-24,9
S0000307,C00023,2024-03-08,15
S0000308,C00023,2023-03-04,1
S0000309,C00023,2024-08-03,5
S0000310,C00023,2022-08-30,16
S0000311,C00023,2022-12-26,3
S0000312,C00023,2022-10-07,16
S0000313,C00023,2022-02-27,2
S0000314,C00023,2024-04-08,17
S0000315,C00023,2023-06-03,13
S0000316,C00023,2023-08-19,6
S0000317,C00023,2024-12-27,16
S0000318,C00023,2023-05-23,10
S0000319,C00023,2024-01-20,15
S0000320,C00023,2024-03-03,7
S0000321,C00023,2024-01-19,17
S0000322,C00023,2024-07-29,7
S0000323,C00023,2022-07-18,3
S0000324,C00023,2022-06-24,7
S0000325,C00023,2024-01-20,10
S0000326,C00024,2023-01-05,11
S0000327,C00024,2024-02-23,16
S0000328,C00024,2023-07-16,11
S0000329,C00024,2024-04-15,10
S0000330,C00024,2023-10-02,8
S0000331,C00024,2022-09-03,7
S0000332,C00024,2022-12-02,18
S0000333,C00024,2022-08-15,12
S0000334,C00024,2024-03-01,3
S0000335,C00024,2023-02-20,14
S0000336,C00024,2024-10-21,6
S0000337,C00024,2023-03-26,8
S0000338,C00024,2022-10-25,20
S0000339,C00024,2022-03-12,10
S0000340,C00024,2024-05-31,1
S0000341,C00024,2024-11-25,10
S0000342,C00024,2024-03-01,15
S0000343,C00024,2023-09-02,2
S0000344,C00024,2024-08-20,5
S0000345,C00024,2023-08-13,17
S0000346,C00024,2022-04-04,4
S0000347,C00024,2024-11-18,16
S0000348,C00024,2024-09-16,4
